artist_id,name,birth_date,death_date,description
Q4454226,Valentyna Telychko,1948-09-18T00:00:00Z,,Ukrainian painter
Q4242727,Крижопольський Альберт Мошкович,1942-04-22T00:00:00Z,2011-01-01T00:00:00Z,German painter
Q4074173,Oleksandr Babak,1957-06-06T00:00:00Z,,Soviet painter
Q4093293,"Бондаренко, Вадим Викторович",1967-07-28T00:00:00Z,,Ukrainian painter
Q4250323,Anatolii Kushch,1945-10-30T00:00:00Z,,Ukrainian painter
Q4256586,Mariya Levytska,1955-04-13T00:00:00Z,,Ukrainian painter
Q4084345,Nicolaï Berejnoï,1938-07-24T00:00:00Z,2015-03-24T00:00:00Z,Soviet painter (1938-2015)
Q4263974,Ivan Lytovtchenko,1921-07-08T00:00:00Z,1996-05-27T00:00:00Z,painter (1921-1996)
Q4078710,Nikolai Bartossik,1951-04-05T00:00:00Z,2023-03-02T00:00:00Z,painter
Q4062346,Алікберов Віталій Мурсалович,1944-09-02T00:00:00Z,2014-05-24T00:00:00Z,Soviet painter (1944-2014)
Q4098032,Ivan Budz,1941-03-04T00:00:00Z,,Soviet and Ukrainian production designer of animated films
Q4093173,Anatolii Bondarenko,1966-01-11T00:00:00Z,,Russian composer
Q4102536,Matvei Vaisberg,1958-12-28T00:00:00Z,,Ukrainian painter
Q4240740,Osip Krivoglaz,1918-07-02T00:00:00Z,2012-07-03T00:00:00Z,Soviet painter and architect (1918-2012)
Q4252921,Лазаренко Віталій Іванович,1950-01-04T00:00:00Z,,Soviet composer
Q4057021,Vulf Agranov,1918-12-27T00:00:00Z,1995-05-01T00:00:00Z,Belarusian painter (1918-1995)
Q4059722,Valery Akopov,1939-10-11T00:00:00Z,2020-09-01T00:00:00Z,Ukrainian painter
Q4237325,Ekaterina Kravtsova,1974-10-11T00:00:00Z,,Russian painter
Q4256633,Yakim Levich,1933-02-16T00:00:00Z,2019-07-26T00:00:00Z,Soviet Ukrainian painter (1933-2019)
Q4098114,Будкевич Борис Петрович,1923-07-17T00:00:00Z,1993-06-07T00:00:00Z,painter (1923-1993)
Q4067700,Sergeĭ Anufriev,1964-01-01T00:00:00Z,,Ukrainian painter
Q4242823,Сергій Володимирович Криловський,1961-05-24T00:00:00Z,2014-11-29T00:00:00Z,Ukrainian painter (1961-2014)
Q4263979,Mariya Lytovchenko,1927-06-22T00:00:00Z,2014-10-25T00:00:00Z,Soviet painter (1927-2014)
Q4067696,Alexander Sergeevich Anufriev,1940-08-02T00:00:00Z,2024-10-17T00:00:00Z,Ukrainian painter
Q4067550,Andrii Antoniuk,1943-10-15T00:00:00Z,2013-04-16T00:00:00Z,Soviet painter (1943-2013)
Q4272882,Tymofii Liashchuk,1929-03-24T00:00:00Z,2015-07-13T00:00:00Z,Ukrainian painter (1929-2015)
Q4067665,Petro Antip,1959-04-04T00:00:00Z,,Ukrainian sculptor
