item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q32172,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%97%D0%BD%D0%B0%D0%BA%20%D0%97%D0%9C%D0%A1%20%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%8B.jpg,en,literal,Merited master of sports of Ukraine,en,literal,sports title,,,,,,,,,,,,,merited master of sports of ukraine,
uri,http://www.wikidata.org/entity/Q638445,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Chersonesos%20ruins.jpg,en,literal,Chersonesus,en,literal,cultural property,,,,,,,,,,,,,chersonesus,
uri,http://www.wikidata.org/entity/Q598258,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Shevchenkivs%27kyi%20district%2C%20Kiev%2C%20Ukraine%20-%20panoramio%20%28167%29.jpg,en,literal,"Taras Shevchenko Monument, Kyiv",en,literal,monument,,,,,,,,,,,,,taras shevchenko monument kyiv,
uri,http://www.wikidata.org/entity/Q543408,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D0%BE%D0%BB%D0%BE%D1%82%D0%BD%D0%B0%20%D0%B5%D0%BA%D0%BE%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0%20%D1%80%D1%96%D1%87%D0%BA%D0%B8%20%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D1%96%D0%B4.jpg,en,literal,rivers of Ukraine,en,literal,aspect in a geographic region,,,,,,,,,,,,,rivers of ukraine,
uri,http://www.wikidata.org/entity/Q972731,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9B%D0%B5%D0%B3%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D0%BD%D0%B0%20%D1%82%D0%B0%D1%87%D0%B0%D0%BD%D0%BA%D0%B0%20%28%D0%B2%D0%B8%D0%B4%209%29.JPG,en,literal,Legendary Tachanka,en,literal,equestrian statue,en,literal,Kakhovka,,,,,,,,,,legendary tachanka,
uri,http://www.wikidata.org/entity/Q561913,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Drobitskiy%20menora.jpg,en,literal,Drobytsky Yar,en,literal,human-geographic territorial entity,,,,,,,,,,,,,drobytsky yar,
uri,http://www.wikidata.org/entity/Q39049,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Ukraine-Defender%20of%20the%20Motherland%20Medal.PNG,en,literal,Defender of the Motherland Medal,en,literal,commemorative medal,,,,,,,,,,,,,defender of the motherland medal,
uri,http://www.wikidata.org/entity/Q14681,uri,http://commons.wikimedia.org/wiki/Special:FilePath/2012-09-09%20%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA%20%D0%B7%D0%B0%D1%82%D0%BE%D0%BF%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%BC%20%D0%BA%D0%BE%D1%80%D0%B0%D0%B1%D0%BB%D1%8F%D0%BC%20%D0%B2%20%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D0%B5%20%281%29.jpg,en,literal,Sunken Ships Monument,en,literal,monument,,,,,,,,,,,,,sunken ships monument,
uri,http://www.wikidata.org/entity/Q870634,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20Chop.svg,en,literal,coat of arms of Chop,en,literal,coat of arms,,,,,,,,,,,,,coat of arms of chop,
uri,http://www.wikidata.org/entity/Q127974,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ukraine.svg,en,literal,flag of Ukraine,en,literal,national flag,,,,,,,,,,,,,flag of ukraine,
uri,http://www.wikidata.org/entity/Q926255,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Kamenna2.jpg,en,literal,Kamyana Mohyla,en,literal,blockfield,,,,,,,,,,,,,kamyana mohyla,
uri,http://www.wikidata.org/entity/Q1316721,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Luetzenhofer%20Friedhof%20006.JPG,en,literal,Lychakiv Cemetery,en,literal,cemetery,,,,,,,,,,,,,lychakiv cemetery,
uri,http://www.wikidata.org/entity/Q1292614,,,en,literal,elections in Ukraine,en,literal,Wikipedia overview article,,,,,,,,,,,,,elections in ukraine,
uri,http://www.wikidata.org/entity/Q25477,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9B%D0%B8%D0%BF%D0%BE%D0%B2%D0%B5%D1%86%D1%8C%2C%20%D0%91%D1%80%D0%B0%D1%82%D1%81%D1%8C%D0%BA%D0%B0%20%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D0%B0%20%D1%81%D0%BB%D0%BE%D0%B2%D0%B0%D1%86%D1%8C%D0%BA%D0%B8%D1%85%20%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D1%96%D0%B2%20%D0%B7%D0%B0%D0%B3%D0%B8%D0%B1%D0%BB%D0%B8%D1%85%20%D0%BF%D1%96%D0%B4%20%D1%87%D0%B0%D1%81%20%D0%BD%D0%B0%D1%81%D1%82%D1%83%D0%BF%D1%83.jpg,en,literal,Slovak monument,en,literal,monument,,,,,,,,,,,,,slovak monument,
uri,http://www.wikidata.org/entity/Q1325545,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Turul%20Monument%20Vylok%20Aerial%202019%203.jpg,en,literal,"Turul Monument, Tiszabecs",en,literal,monument,,,,,,,,,,,,,turul monument tiszabecs,
