museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q12104642,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.655474 50.254927),en,literal,Zhytomyr Regional Museum,en,literal,Zhytomyr
uri,http://www.wikidata.org/entity/Q12140604,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.5136 50.2416),uk,literal,Пирятинський районний народний краєзнавчий музей,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12080999,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.025186992 48.909932898),en,literal,Barvinkivsky Museum of Local History,en,literal,Barvinkove
uri,http://www.wikidata.org/entity/Q12168040,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.298289859 48.172970041),uk,literal,Хустський краєзнавчий музей,en,literal,Khust
uri,http://www.wikidata.org/entity/Q12097114,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.56666 49.17193),uk,literal,Городоцький краєзнавчий музей,en,literal,Horodok
uri,http://www.wikidata.org/entity/Q12168040,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.298289859 48.172970041),uk,literal,Хустський краєзнавчий музей,en,literal,Zakarpattia Oblast
uri,http://www.wikidata.org/entity/Q12075085,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.033024755 48.763578444),uk,literal,Історико-краєзнавчий музей села Бортники,en,literal,Tlumach Raion
uri,http://www.wikidata.org/entity/Q12100498,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.529221138 49.826185504),uk,literal,Диканський державний історико-краєзнавчий музей ім. Д. М. Гармаша,en,literal,Dykanka
uri,http://www.wikidata.org/entity/Q12168040,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.298289859 48.172970041),uk,literal,Хустський краєзнавчий музей,en,literal,Khust Raion
uri,http://www.wikidata.org/entity/Q12122626,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.219680972 51.524493155),uk,literal,Менський краєзнавчий музей,en,literal,Koriukivka Raion
uri,http://www.wikidata.org/entity/Q12122626,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.219680972 51.524493155),uk,literal,Менський краєзнавчий музей,en,literal,Mena
uri,http://www.wikidata.org/entity/Q12116706,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.761173545 48.442015622),en,literal,Kitsman Historical Museum,en,literal,Kitsman
uri,http://www.wikidata.org/entity/Q12130613,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.841724996 49.318120128),en,literal,Vahnivka museum,en,literal,Vakhnivka
uri,http://www.wikidata.org/entity/Q12112129,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.647307211 49.013221614),en,literal,Horishni Plavni local history museum,en,literal,Horishni Plavni
uri,http://www.wikidata.org/entity/Q12171675,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(27.068908355 50.179965925),en,literal,Shepetivka Local Museum,en,literal,Shepetivka
uri,http://www.wikidata.org/entity/Q12118016,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(38.41624167 48.91566944),en,literal,Lysychansk Local History Museum,en,literal,Lysychansk
uri,http://www.wikidata.org/entity/Q12075085,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.033024755 48.763578444),uk,literal,Історико-краєзнавчий музей села Бортники,en,literal,Bortniki
uri,http://www.wikidata.org/entity/Q12075085,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.033024755 48.763578444),uk,literal,Історико-краєзнавчий музей села Бортники,en,literal,Ivano-Frankivsk Oblast
uri,http://www.wikidata.org/entity/Q12122626,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.219680972 51.524493155),uk,literal,Менський краєзнавчий музей,en,literal,Chernihiv Oblast
uri,http://www.wikidata.org/entity/Q12090003,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.191354631 50.077445853),uk,literal,Вовчицький краєзнавчий музей імені Івана Саєнка,en,literal,Vovchik
