wikidata_id,artist_name,original_search_name,wikidata_url,nationality_1,nationality_2,nationality_3,nationality_4,nationality_5,movement_1,movement_2,occupation_1,occupation_2,occupation_3,birthYear,deathYear
Q109493478,Valentin Polyakov,Valentin Polyakov,http://www.wikidata.org/entity/Q109493478,Soviet Union,Russian Empire,,,,,,painter,,,1915.0,1977.0
Q111743900,Paul Barbier,Paul Barbier,http://www.wikidata.org/entity/Q111743900,France,,,,,,,painter,,,,1828.0
Q115131398,Ksenia Stetsenko,Ksenia Stetsenko,http://www.wikidata.org/entity/Q115131398,,,,,,,,painter,,,,
Q11865824,Quido Kocian,Quido Kocian,http://www.wikidata.org/entity/Q11865824,Czechoslovakia,,,,,,,sculptor,,,1874.0,1928.0
Q119983039,Louise Guyot,Louise Guyot,http://www.wikidata.org/entity/Q119983039,France,,,,,,,painter,,,,
Q12079934,Petro Babak,Petro Babak,http://www.wikidata.org/entity/Q12079934,Soviet Union,Ukrainian Soviet Socialist Republic,,,,,,painter,,,1921.0,1973.0
Q12081033,Vira Barynova-Kuleba,Vira Barynova-Kuleba,http://www.wikidata.org/entity/Q12081033,Ukraine,Soviet Union,,,,,,painter,,,1938.0,
Q12087847,Hryhorii Vasetskyi,Hryhorii Vasetskyi,http://www.wikidata.org/entity/Q12087847,Ukraine,Soviet Union,,,,,,painter,,,1928.0,2019.0
Q12104812,Mykhailo Zhuk,Mykhailo Zhuk,http://www.wikidata.org/entity/Q12104812,Soviet Union,,,,,,,painter,draftsperson,,1883.0,1964.0
Q12113876,Andriy Kotska,Andriy Kotska,http://www.wikidata.org/entity/Q12113876,Soviet Union,Czechoslovakia,,,,,,painter,,,1911.0,1987.0
Q12116778,Leonid Labenok,Leonid Labenok,http://www.wikidata.org/entity/Q12116778,Soviet Union,,,,,,,painter,,,1927.0,2000.0
Q12161825,Viktor Tolochko,Viktor Tolochko,http://www.wikidata.org/entity/Q12161825,Ukraine,Soviet Union,,,,socialist realism,,painter,,,1922.0,2006.0
Q12170829,Volodymyr Chupryna,Volodymyr Chupryna,http://www.wikidata.org/entity/Q12170829,Ukraine,Soviet Union,,,,,,painter,,,1940.0,
Q12174154,Volodymyr Yatsenko,Volodymyr Yatsenko,http://www.wikidata.org/entity/Q12174154,Ukraine,Soviet Union,Russian Empire,Ukrainian Soviet Socialist Republic,Ukrainian People's Republic,,,artist,painter,,1915.0,2010.0
Q12361074,Eduard Einmann,Eduard Einmann,http://www.wikidata.org/entity/Q12361074,Estonia,,,,,,,painter,sculptor,,1913.0,1982.0
Q1343751,Konstantin Yuon,Konstantin Yuon,http://www.wikidata.org/entity/Q1343751,Soviet Union,Russian Empire,,,,Impressionism,,painter,,,1875.0,1958.0
Q1350341,Vassily Maximov,Vassily Maximov,http://www.wikidata.org/entity/Q1350341,Russian Empire,,,,,,,painter,,,1844.0,1911.0
Q1362444,Filipp Malyavin,Filipp Malyavin,http://www.wikidata.org/entity/Q1362444,Russian Empire,,,,,,,painter,visual artist,draftsperson,1869.0,1940.0
Q14702596,Sukhrob Kurbanov,Sukhrob Kurbanov,http://www.wikidata.org/entity/Q14702596,Tajikistan,Soviet Union,,,,,,painter,,,1946.0,2016.0
Q161858,Zinaida Serebryakova,Zinaida Serebryakova,http://www.wikidata.org/entity/Q161858,France,Soviet Union,Russian Empire,Russian Socialist Federative Soviet Republic,,Impressionism,,artist,painter,,1884.0,1967.0
Q16399917,Suren Safaryan,Suren Safaryan,http://www.wikidata.org/entity/Q16399917,Soviet Union,,,,,,,painter,,,1923.0,1988.0
Q16444764,Augustinas Savickas,Augustinas Savickas,http://www.wikidata.org/entity/Q16444764,Lithuania,,,,,,,painter,,,1919.0,2012.0
Q1755821,Sergey Gerasimov,Sergey Gerasimov,http://www.wikidata.org/entity/Q1755821,Soviet Union,Russian Empire,,,,,,painter,,,1885.0,1964.0
Q1766769,Kyriak Kostandi,Kyriak Kostandi,http://www.wikidata.org/entity/Q1766769,Russian Empire,,,,,Peredvizhniki,,painter,,,1852.0,1921.0
