artist,artist_name_corrected,birth_year,death_year,birth_place,nationality_1,nationality_2,movement_1,movement_2,occupation_1,occupation_2,occupation_3,notes,source
Samuel Nevelstein,Samuil Nevelshtein,1903.0,1983.0,"Kherson, Ukraine",Soviet Union,Russian Empire,Leningrad school of painting,,painter,watercolor,graphic artist,"Teacher, known for portraits of children and youth",Wikipedia
Kiriak Kostandi,Kyriak Kostandi,1852.0,1921.0,"Dofinovka, near Odesa",Ukrainian,Russian Empire,Realism,Peredvizhniki,painter,art scholar,teacher,"Greek descent, founder of Society of South Russian Artists",Wikipedia
Oleksiy Shovkunenko,Oleksii Shovkunenko,1884.0,1974.0,"Kherson, Ukraine",Ukrainian,Soviet Union,Impressionism,Socialist Realism,painter,teacher,,"Member USSR Academy of Arts 1947, founder industrial landscape",Wikipedia
Ivan Shulga,Ivan Nikolayevich Shulga,1889.0,1956.0,"Mikhailovka (now Skadovsk district), Ukraine",Ukrainian,Soviet Union,Socialist Realism,,painter,teacher,graphic artist,"Honored Artist of Ukrainian SSR 1946, created postcards and posters",Arthive
Anatolii Platonov,Anatolii Platonov,,,"Kherson, Ukraine",Ukrainian,,,,painter,,,"Painter from Kherson, researched by Volodymyr Chupryna",Svidomi
Mykola Skadovsky,Nikolai Lvovich Skadovsky,1845.0,1892.0,"Bilozerka, Kherson Governorate, Ukraine",Ukrainian,Russian Empire,Realism,,painter,genre scenes,,"Polish nobility family, founder of Society of South Russian Artists 1889",Wikipedia
Yehor Tolkunov,Yegor Yegorovich Tolkunov,1943.0,,"Petrovka, Genichesky district, Kherson region, Ukraine",Ukrainian,Soviet Union,Socialist Realism,,painter,genre painting,,"Graduated Chisinau Republican Art College 1969, lives in Kherson since 1971",Oknasocrealisma / Artkavun
Danylo Dzevanovskyi,Danila Pavlovich Dzevanovskiy,1916.0,1982.0,"Kishinev, Moldova",Ukrainian,Soviet Union,,,painter,,,"Student of Kiev Art Institute 1939-1940, member Union of Artists of Ukraine 1982",Artkavun Kherson
Leonid Chychkan,Leonid Ilyich Chychkan (Чичкан),1911.0,1977.0,"Yekaterinodar (Krasnodar), Kuban region, Russia",Ukrainian,Soviet Union,Socialist Realism,,painter,professor,teacher,"Graduated Krasnodar Art College 1933, Kiev Art Institute 1945 (workshop of A. Shovkunenko). Member Union of Artists Ukrainian SSR. WWII veteran, Order of Glory 3rd degree. Taught at Kiev Art Institute since 1952, professor since 1971. Honored Artist of USSR 1969. Specialized in Hutsul life themes, still life, landscape, portrait, genre paintings",Soviet Art
Yakov Feldman,Yakov Markovich Feldman,1898.0,1983.0,,Russian Empire,Soviet Union,,,production designer,painter,,Worked at Gerasimov Institute of Cinematography. Known for film production design work,Wikidata
Mykhailo Kozyk,Mykhailo Yakymovych Kozyk,1879.0,1947.0,"Semenivka, Ukraine",Ukrainian,Russian Empire,Impressionism,,painter,art teacher,professor,"Graduated Kyiv Art School 1913 as Artist First Degree. Teacher Kyiv Art School 1915-1925, professor Kyiv Art Institute until 1932, then Kharkiv Art Institute until 1941. Remained in Kharkiv during German occupation to preserve Institute. Persona non grata until rehabilitation 1973. Retrospective 1979",Wikipedia
Vasyl Khmeluk,Vasyl Khmeliuk (Vassyl Khmeluk),1903.0,1986.0,"Cherniatyn, Volhynia gubernia, Ukraine",Ukrainian,French (emigrated),Post-Impressionism,,painter,poet,,"Studied Cracow Academy of Arts and Ukrainian Studio of Plastic Arts Prague. Settled Paris 1928. Associated with Durand-Ruel Gallery from 1943. Works in museums Paris, London, Stockholm, Lviv, Lucerne, Oxford University collection",Encyclopedia of Ukraine
Petr Stolyarenko,Pyotr Kuzmich Stolyarenko (Petro Stolyarenko),1925.0,,"Kapkany (Kerch), Crimea, Ukraine",Ukrainian,Soviet Union,Post-Impressionism,Socialist Realism,painter,landscape painter,marine painter,"Studied with K.F. Bogaevsky and N. Barsamov. Member Union of Artists USSR 1953. Honored Artist Ukraine 1972, People's Artist Ukraine 1985. Gold medal ""For Contribution to World Culture"" 2010. Lives Yalta. Called ""Soviet post-impressionist"". Works in major Ukrainian museums",Oknasocrealisma / Arthive
Mykola Hlushchenko,Mykola Petrovych Hlushchenko (Nicolas Gloutchenko),1901.0,1977.0,"Novomoskovsk, Yekaterinoslav Governorate, Russian Empire",Ukrainian,Soviet Union,Post-Impressionism,Socialist Realism,painter,Soviet intelligence agent,,"Graduate Berlin Academy of Art 1924. Worked Paris 1925-1936, recruited by GPU as Soviet agent 1933. Returned USSR 1936, moved Kyiv 1944. Winner Shevchenko National Prize 1972. People's Artist USSR 1985. Exhibited Berlin, Paris, Milan, Stockholm, Rome, London, Toronto. Most famous work: ""Sinister Sea""",Wikipedia
Volodymyr Patyk,Volodymyr Yosypovych Patyk (Vladimir Patik),1926.0,2016.0,"Chornyi Ostriv, Galicia (now Lviv Oblast), Ukraine",Ukrainian,Soviet Union,Expressionism,,painter,landscape painter,muralist,"Graduate Lviv Institute of Applied and Decorative Art 1953 (studied under Roman Selsky, Yosyp Bokshai). Member Union of Artists USSR 1958. Honored Artist Ukraine 1996, People's Artist Ukraine 2006, Shevchenko National Prize 1999. Known for expressionist landscapes with brilliant colors. Prominent Lviv school painter",Wikipedia / Encyclopedia of Ukraine
Abram Arkhipov,Abram Efimovich Arkhipov (Pyrikov),1862.0,1930.0,"Yegorovo, Ryazan Province, Russian Empire",Russian,,Realism,Peredvizhniki (The Wanderers),painter,teacher,,"Note: Russian artist, not Ukrainian. Member of The Wanderers 1889, Union of Russian Artists 1903. Taught at Moscow School of Painting, Sculpture and Architecture and Vkhutemas 1922-1924. People's Artist of USSR 1927. Known for peasant life themes, especially Russian women",Wikipedia
