artist_name,works_count,wikidata_id,birth_year,death_year,nationality,movement,notes
Ada Zevina-Mansurova,1,,,,,,
Adiya Sytdykova,1,,,,,,
Afanasiy Rokachevsky,1,,,,,,
Albert Papikian,1,,,,,,
Albin Gawdzinski,1,,,,,,
Alekseev F.Y.,1,,,,,,
Alexander Belyansky,1,,,,,,
Alexander Chaly,1,,,,,,
Alexander Kalinsky,1,,,,,,
Alexander Neumyvakin,1,,,,,,
Alexander Rubinin,1,,,,,,
Alexander Tafintsev,1,,,,,,
Alexander Tyulkin,1,,,,,,
Alexey Elizarov,1,,,,,,
Alexey Fishchenko,1,,,,,,
Alexey Zakharchuk,1,,,,,,
Alfredo Scoriolli,1,,,,,,
Anatolii Postoiuk,1,,,,,,
Anatoly Gorbenko,1,,,,,,
Anatoly Lebedev - Shuisky,1,,,,,,
Anatoly Nasedkin,1,,,,,,
Anatoly Nikych-Krylychevsky,1,,,,,,
Andrey Krylov,1,,,,,,
Andrey Schilder,1,,,,,,
Andriy Schneider,1,,,,,,
Andriy Vasnetsov,1,,,,,,
Annamukhamed Zaripov,1,,,,,,
Anton Kashshai,1,,,,,,
Antonin Fomintsev,1,,,,,,
Ashot Melkonyan,1,,,,,,
Askhat Safargalin,1,,,,,,
Bohaevskyi P.,1,,,,,,
Boleslav Skirgello,1,,,,,,
Boris Domashnikov,1,,,,,,
Boris Novikov,1,,,,,,
Boris Pianida,1,,,,,,
Boris Shcherbakov,1,,,,,,
Borys Lavrynenko,1,,,,,,
Carlis Dobreis,1,,,,,,
Danylo Bezuhlyi,1,,,,,,
David Sterenberg,1,,,,,,
Dmitry Katynin,1,,,,,,
Dmytro Nalbandian,1,,,,,,
Dmytro Tytov,1,,,,,,
Eduard Bazylianskyi,1,,,,,,
Elbek Mirza Hasan oglu Rzakuliev,1,,,,,,
Elena Lesnicha,1,,,,,,
Elena Tupikina,1,,,,,,
Elżbieta Wyrożemska,1,,,,,,
Emmanuel Knizhek,1,,,,,,
Emmanuel Magdessian,1,,,,,,
Emmanuil Buntselman,1,,,,,,
Ernest Kontratovych,1,,,,,,
Evgeny Jolos-Solovyov,1,,,,,,
Evgeny Vakhtagov,1,,,,,,
Fedir Konovaliuk,1,,,,,,
Fedir Samusev,1,,,,,,
Fedir Zahorodniuk,1,,,,,,
Felix Kider,1,,,,,,
Frans Ferlut,1,,,,,,
Galina Neledva,1,,,,,,
Gemma Skulme,1,,,,,,
Gennadiy Myznikov,1,,,,,,
Gennadiy Puzyk,1,,,,,,
George Chernyavskyi,1,,,,,,
George Tsereteli,1,,,,,,
Georgii Zaichenko,1,,,,,,
Georgiy Kiyanchenko,1,,,,,,
Georgy Chernyavsky,1,,,,,,
Georgy Kurnakov,1,,,,,,
Georgy Petrov,1,,,,,,
German Rizhkov,1,,,,,,
Grigory Kryzhevsky,1,,,,,,
Grigory Sergeev,1,,,,,,
Grigory Zinkovich,1,,,,,,
Gustav Richte,1,,,,,,
H. Makov,1,,,,,,
Halyna Zoria,1,,,,,,
Havrilo Hliuk,1,,,,,,
Hedreus Kazimerenas,1,,,,,,
Hennadii Ovsiannykov,1,,,,,,
Henrikh Nechyporenko,1,,,,,,
Heorhii Melikhov,1,,,,,,
Heorhii Petrov,1,,,,,,
Horace Chernukhin,1,,,,,,
Hryhorii Bonia,1,,,,,,
Igor Platonov,1,,,,,,
Ihor Hryhoriev,1,,,,,,
Ihor Platonov,1,,,,,,
Ihor Reznyk,1,,,,,,
Ilarion Prianishnykov,1,,,,,,
Illia Shtilman,1,,,,,,
Ilya Kotlyarov,1,,,,,,
Iryna Makarova-Vysheslavska,1,,,,,,
Isaac Shifman,1,,,,,,
Isaac Tartakovsky,1,,,,,,
Israel Lizak,1,,,,,,
Ivan Botko,1,,,,,,
Ivan Choultsé,1,,,,,,
Ivan Hopkalo,1,,,,,,
Ivan Loboda,1,,,,,,
Ivan Pokhytonov,1,,,,,,
Ivan Shatsky,1,,,,,,
Ivan Shulha,1,,,,,,
Ivan Skytsyuk,1,,,,,,
Ivan Sorokin,1,,,,,,
Ivan Starenkov,1,,,,,,
Ivan Stepanov,1,,,,,,
Jacques Ikhmalian,1,,,,,,
Jan Cionglinski,1,,,,,,
Joshua Brevio,1,,,,,,
Kapkov Yakiv Fedorovych,1,,,,,,
Karlis Dobrais,1,,,,,,
Kirill Lemokh,1,,,,,,
Konstantin Kryzhytskyi,1,,,,,,
Konstantin Shurupov,1,,,,,,
Kostiantyn Kryzhytskyi,1,,,,,,
Kostiantyn Lomykin,1,,,,,,
Kostiantyn Makovskyi,1,,,,,,
Kostiantyn Trutovskyi,1,,,,,,
Kostyantin Moskovchenko,1,,,,,,
Ksenia Nechytailo,1,,,,,,
Kuznetsov Mykola Dmytrovych,1,,,,,,
Larysa Mandrykova,1,,,,,,
Laslo Pushkash,1,,,,,,
Lavinia Bazhbeuk-Melikian,1,,,,,,
Lazar Shtirmer,1,,,,,,
Lazar Shtyrmer,1,,,,,,
Lazar Stirmer,1,,,,,,
Lazar Styrmer,1,,,,,,
Leonard Turzhanskyi,1,,,,,,
Leonid Brummer,1,,,,,,
Leonid Gadi,1,,,,,,
Leontiy Koshtelianchuk,1,,,,,,
Lev Werkman,1,,,,,,
Liya Alfovna Bumane,1,,,,,,
Lyudmila Petrova,1,,,,,,
Maria Husak,1,,,,,,
Mariam Aslamazyan,1,,,,,,
Marta Makarenko,1,,,,,,
Matvii Kohan-Shats,1,,,,,,
Max Birstein,1,,,,,,
Maya-Nora Tabaka,1,,,,,,
Mihail Grecu,1,,,,,,
Mikail Abdullaev,1,,,,,,
Mikhail Ignatiev,1,,,,,,
Mikhail Shaposhnikov,1,,,,,,
Mikola Bocharov,1,,,,,,
Mikola Khvatov,1,,,,,,
Moisey Wolshtein / Alexander Filbert,1,,,,,,
Mykhailo Andrienko-Nechytailo,1,,,,,,
Mykhailo Babiy,1,,,,,,
Mykhailo Bozhiy,1,,,,,,
Mykhailo Chepyk,1,,,,,,
Mykhailo Cherny,1,,,,,,
Mykhailo Kazas,1,,,,,,
Mykhailo Kholodovsky,1,,,,,,
Mykola Glushchenko,1,,,,,,
Mykola Kuznetsov,1,,,,,,
Mykola Nikonov,1,,,,,,
Mykola Sverchkov,1,,,,,,
Nadezhda Sirotenko,1,,,,,,
Nadia Andreeva,1,,,,,,
Nikolay Dubovskoy,1,,,,,,
Nikolay Ovechkin,1,,,,,,
Nikolay Remizov,1,,,,,,
Nikolay Romadin,1,,,,,,
Nikolay Troshin,1,,,,,,
Nina Gan,1,,,,,,
Ojars Abols,1,,,,,,
Oleksandr Deyneka,1,,,,,,
Oleksandr Diatala,1,,,,,,
Oleksandr Kropko,1,,,,,,
Oleksandr Vyatkin,1,,,,,,
Oleksandr Zhurba,1,,,,,,
Oleksii Boholiubov,1,,,,,,
Oleksii Kolesov,1,,,,,,
Olga Atroshchenko,1,,,,,,
Olga Bondarenko (Shkuropat),1,,,,,,
Olha Bryntseva,1,,,,,,
Orest Sleshinsky,1,,,,,,
P. Sokolov,1,,,,,,
Pavel Yakovlev,1,,,,,,
Pavlo Shulga,1,,,,,,
Peter Kamenicek,1,,,,,,
Peter Lely (Pieter van der Faes),1,,,,,,
Petr Kotov,1,,,,,,
Petro Ignatiev,1,,,,,,
Petro Konchalovsky,1,,,,,,
Petro Nilus,1,,,,,,
