artist_name,wikidata_id,wikidata_label,description,birth_year,death_year,is_painter,match_score,works_count,url
Feliks Kider,,,,,,False,0,1,
Grigoriy Sergeev,Q4299163,Grigoriy Mogil'chenko,,1900,1976,False,50,1,https://www.wikidata.org/wiki/Q4299163
Aleksandr Kalinsky,,,,,,False,0,1,
Lazar Shtirmer,,,,,,False,0,1,
Ivan Botko,,,,,,False,0,1,
Georgiy Petrov,Q107386301,Georgiy Petrovitch Kiselev,,1935,,False,50,1,https://www.wikidata.org/wiki/Q107386301
Lazar Shtirmer,,,,,,False,0,1,
Danylo Bezuhlyi,,,,,,False,0,1,
Konstantin Oleksiyovich Shurupov,,,,,,False,0,1,
Hryhorii Kryzhevskyi,Q55107576,Hryhorii Kryzhevskyi,Ukrainian painter,1918,1992,True,100,1,https://www.wikidata.org/wiki/Q55107576
Leonid Brümmer,Q18924931,Leonid Brümmer,Russian painter (1889-1971),1889,1971,True,100,1,https://www.wikidata.org/wiki/Q18924931
Georgiy Petrov,Q107386301,Georgiy Petrovitch Kiselev,,1935,,False,50,1,https://www.wikidata.org/wiki/Q107386301
Konstantin Kryzhytsky,,,,,,False,0,1,
Yevhen Dzholos-Solovyov,,,,,,False,0,1,
Serafima Senkevych,,,,,,False,0,1,
Petro Slyota,,,,,,False,0,1,
Fedir Zahorodniuk,,,,,,False,0,1,
Kārlis Dobrais,Q4163382,Kārlis Dobrais,Latvian painter,1943,,True,100,1,https://www.wikidata.org/wiki/Q4163382
Emmanuil Buntselman,,,,,,False,0,1,
Yevhen Bukovetskyi,,,,,,False,0,1,
Max Avadievich Birshtein,,,,,,False,0,1,
Oleksandr Chaly,Q12169097,Oleksandr Chalyi,Ukrainian diplomat,1954,,False,50,1,https://www.wikidata.org/wiki/Q12169097
Georgiy Kurnakov,,,,,,False,0,1,
Rufin Gavrilovich Sudkovsky,Q4445453,Rufin Sudkovsky,Russian painter (1850-1885),1850,1885,True,100,1,https://www.wikidata.org/wiki/Q4445453
Boris Fedorovich Domashnikov,Q4165757,Boris Fedorovich Domashnikov,Russian painter (1924-2003),1924,2003,True,100,1,https://www.wikidata.org/wiki/Q4165757
Oleksei Fishchenko,,,,,,False,0,1,
Petro Kuzmich Stolyarenko,,,,,,False,0,1,
Zinaida Illivna Zatsepina,Q111961456,Zinaida Illivna Zatsepina,,1913,1986,True,100,1,https://www.wikidata.org/wiki/Q111961456
Hryhorii Vasylovych Bonia,Q12083943,Hryhorii Vasylovych Bonia,painter (1918-1989),1918,1989,True,100,1,https://www.wikidata.org/wiki/Q12083943
Mykola Hlushchenko,Q1988563,Mykola Hlushchenko,Ukrainian post-impressionist painter (1901-1977),1901,1977,True,100,1,https://www.wikidata.org/wiki/Q1988563
Vladimir Yegorovich Makovsky,Q740592,Vladimir Makovsky,Russian painter (1846–1920),1846,1920,True,100,1,https://www.wikidata.org/wiki/Q740592
Nikolay Nikanorovich Dubovskoy,Q1349819,Nikolay Nikanorovich Dubovskoy,Russian artist (1859-1918),1859,1918,True,100,1,https://www.wikidata.org/wiki/Q1349819
Aleksandr Neumyvakin,Q4317999,Aleksandr Neumyvakin,Russian politician (1940–2021),1940,2021,False,50,1,https://www.wikidata.org/wiki/Q4317999
Lazar Shtirmer,,,,,,False,0,1,
Fyodor Yakovlevich Alekseev,,,,,,False,0,1,
Ivan Pokhitonov,Q2026947,Ivan Pokhitonov,Ukrainian artist (1850-1923),1850,1923,True,100,1,https://www.wikidata.org/wiki/Q2026947
Ivan Ivanovych Loboda,Q112552849,Ivan Ivanovych Loboda,Ukrainian painter,1926,2017,True,100,1,https://www.wikidata.org/wiki/Q112552849
Konstantin Trutovsky,Q4464564,Konstantin Trutovsky,Russian artist (1826-1893),1826,1893,True,100,1,https://www.wikidata.org/wiki/Q4464564
David Petrovich Shterenberg,Q4526845,David Petrovich Shterenberg,Russian and Soviet artist (1881-1948),1881,1948,True,100,1,https://www.wikidata.org/wiki/Q4526845
Sergey Podervyansky,Q4367545,Sergey Podervyansky,Ukrainian painter (1916-2006),1916,2006,True,100,1,https://www.wikidata.org/wiki/Q4367545
Anton Kashshay,Q12109237,Anton Kashshay,Soviet Ukrainian painter (1921-1991),1921,1991,True,100,1,https://www.wikidata.org/wiki/Q12109237
Oleksiy Zakharchuk,Q12106120,Oleksii Zakharchuk,painter (1929-2013),1929,2013,True,100,1,https://www.wikidata.org/wiki/Q12106120
Ilya Shtilman,Q1094028,Ilya Shtilman,Ukrainian painter (1902-1966),1902,1966,True,100,1,https://www.wikidata.org/wiki/Q1094028
Halyna Zorya,Q106766397,Halyna Zorya,Ukrainian painter,1915,2002,True,100,1,https://www.wikidata.org/wiki/Q106766397
Nikolay Mikhailovich Romadin,,,,,,False,0,1,
Ivan Fedorovich Choultsé,Q18639543,Ivan Fedorovich Choultsé,"Russian artist, 1877- (1874–1939)",1874,1939,True,100,1,https://www.wikidata.org/wiki/Q18639543
Carl Johann Lemoch,Q4257944,Carl Johann Lemoch,Russian painter (1841-1910),1841,1910,True,100,1,https://www.wikidata.org/wiki/Q4257944
Gustav Richter,Q1419418,Gustav Richter,German historian (1838–1904),1838,1904,False,50,1,https://www.wikidata.org/wiki/Q1419418
Mariam Aslamazian,Q6761777,Mariam Aslamazian,Soviet Armenian artist (1907-2006),1907,2006,True,100,1,https://www.wikidata.org/wiki/Q6761777
Anatoliy Gorbenko,,,,,,False,0,1,
