event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR5,2018-01-01,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Ukraine (2014-2019)",,"State forces","Civilians (Ukraine)",,Civilians,"State forces-Civilians",,804,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Krasnohorivka,48.0060,37.5097,1,"DPR Armed Forces Press Service",Other,"Looting: On 1 January 2018, according to DPR press service, a few servicemen of Military Forces of Ukraine looted a heater and some warm clothes from a local citizen of Krasnohorivka.",0,,1631040306
UKR40192,2018-01-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Police Forces of Ukraine (2014-2019) Municipal Guard",,"State forces","State forces-Political militia",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Obolonskyi",50.5286,30.4749,1,"Novoye Vremya Ukraine",National,"Property destruction: On 4 January 2018, unidentified individuals set fire to three cars belonging to the Municipal Guard in Kiev-Obolonskyi.",0,,1646184495
UKR218,2018-01-10,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Russian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,"Chornomorska (selyshchna)",Chornomorske,46.5854,30.9458,1,ITAR-TASS,Regional,"Property destruction: On 10 January 2018, unknown attackers robbed and desecrated the St Panteleimon's church belonging to the Orthodox Church of the Moscow Patriarchate in the city of Chornomorske, Odessa.",0,,1762895027
UKR40183,2018-01-11,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,1,"Segodnya; Focus",National,"Property destruction: On 11 January 2018, unidentified individuals set fire to a car in Kiev belonging to the head of an initiative group for public control over the investigation into the murder of human rights activist Iryna Nozdrovska. The fire spread to another car parked nearby. No injuries were reported.",0,,1646184492
UKR340,2018-01-13,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","SPU: Socialist Party of Ukraine",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,"OSCE SMM-Ukraine",Other,"Property destruction: On 13 January 2018, unidentified individuals broke windows and damaged the entrance door of the office building of a local branch of the Socialist Party of Ukraine in Dnipro.",0,,1750794622
UKR522,2018-01-19,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Russian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,"Chornomorska (selyshchna)",Chornomorske,46.5854,30.9458,1,"InfoCenter Odessa",Subnational,"Property destruction: On 19 January 2018, a church of the Ukrainian Orthodox Church of the Moscow Patriarchate in Chornomorske, Odesa, was robbed and desecrated.",0,,1732648592
UKR800,2018-01-30,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.4128,26.9980,1,Vholos,National,"Property destruction: On 30 January 2018, an unidentified attacker tried to set fire to a Russian bank branch in Khmelnytskyi. The man spilt an inflammatory substance in front of the entrance and set fire to it. No one was injured. The motives of the crime were not known.",0,,1631040307
UKR926,2018-02-03,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Russian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,Unian,National,"Property destruction: On 3 February 2018, unidentified people set on fire a pro-Russian Orthodox church in Lviv - St Prince Volodymyr's Church of the Ukrainian Orthodox Church of the Moscow Patriarchate. The church sustained damage.",0,,1631040307
UKR965,2018-02-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","ONR: National Radical Camp",,"Political militia","Civilians (Ukraine)","KMKSZ: Transcarpathian Hungarian Cultural Association",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Uzhhorodskyi,Uzhhorodska,Uzhhorod,48.6167,22.3000,1,"ZIK; OSCE SMM-Ukraine",Other-National,"Property destruction: On 4 February 2018, an inflammable device was thrown at the building where the office of the 'KMKSZ: Transcarpathian Hungarian Cultural Union' is located in Uzhhorod. The building's windows were damaged. It was later reported that the fire was set by two members of the ONR (Polish far-right radical organisation).",0,,1631040306
UKR1045,2018-02-06,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Ukraine (2014-2019)",,"State forces","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"State forces-Civilians",,804,Europe,Ukraine,Luhansk,Sievierodonetskyi,Sievierodonetska,"Nova Astrakhan",49.1147,38.5953,2,"OSCE SMM-Ukraine",Other,"Property destruction: On 6 February 2018, the OSCE SMM observed a total of 32 shots/bursts of fire involving unknown weapons near Nova Astrakhan assessed as aimed at an OSCE SMM's UAV.",0,,1631040306
UKR1362,2018-02-14,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,1,"Vysoky Zamok",National,"Property destruction: On 14 February 2018, an unidentified attacker set fire to a Russian bank branch office in Lviv. The man broke the window and threw a petrol bomb inside. The fire partially destroyed the property of the bank, but no-one was injured.",0,,1631040307
UKR39448,2018-02-16,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Solomyanskyi",50.4267,30.4538,1,"24 Channel",National,"Property destruction: On 16 February 2018, a man smashed with an axe 13 cars parked near a court in Kiev - Solomyanskyi. He explained his actions as a response to the outcome of the pre-trial detention hearing for the mayor of Odessa over corruption allegations in which the court released the mayor.",0,,1646184493
UKR1471,2018-02-16,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (Ukraine)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Sentianivka,48.6686,38.7544,2,"OSCE SMM-Ukraine",Other,"On 16 February 2018, the OSCE SMM observed a total of 4 shots involving unknown weapons near Sentianivka assessed as aimed at an OSCE SMM's UAV.",0,,1649285273
UKR1698,2018-02-21,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Judges (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,1,"Trassa E95",Subnational,"Property destruction: On 21 February 2018, there was an arson attack on judge Oleksandr Dzhaburiya's car in Odessa. The press service of the court in which Dzhabiriya is working stated that the incident was linked to the judge's professional activity.",0,,1646184497
