id,url,category,name,author,type,cration_date,original_name,circumstances,year_incident,place_incident,latitude,longitude,country,museum_origin,description,links,year_clean,period,has_coordinates,has_author
1689,https://war-sanctions.gur.gov.ua/en/stolen/objects/1689,Painting,A decorative panel. Tomatoes in a vase,Maria Prymachenko,Painting,,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://www.facebook.com/share/prhbkTJcRn595NY5/ https://kultura.rayon.in.ua/news/733414-vikradeni-rosiyanami-kartini-z-khersonu-vidtvorili-na-solodoshchakh Archive links https://web.archive.org/web/20240819103434/https://kultura.rayon.in.ua/news/733414-vikradeni-rosiyanami-kartini-z-khersonu-vidtvorili-na-solodoshchakh https://archive.ph/seBN5",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,A decorative panel. Tomatoes in a vase,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/share/prhbkTJcRn595NY5/; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
4049,https://war-sanctions.gur.gov.ua/en/stolen/objects/4049,Painting,Cossacks in the steppe / Kozaky v stepu,Serhii Vasylkivsky,Painting,XX century AD,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://www.facebook.com/photo.php?fbid=970956691696772&set=a.731556978970079&type=3 https://pivdenukraine.com.ua/2023/10/19/okupanti-vikrali-z-xersonskogo-xudozhnogo-muzeyu-vidomu-kartinu-kozaki-v-stepu-sergiya-vasilkivskogo/ Archive links https://archive.ph/GlWLV",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,Cossacks in the steppe / Kozaky v stepu,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/photo.php?fbid=970956691696772&set=a.731556978970079&type=3; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
5157,https://war-sanctions.gur.gov.ua/en/stolen/objects/5157,Painting,Party / Vechirka,Ivan Starenkov,Painting,1996,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,On the back on canvas or on a stretcher,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
5192,https://war-sanctions.gur.gov.ua/en/stolen/objects/5192,Painting,Fishermen on Kinburn / Rybalki na Kimburni,Valery Mashnitsky,Painting,2003,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,Fishermen on Kinburn / Rybalki na Kimburni,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
1661,https://war-sanctions.gur.gov.ua/en/stolen/objects/1661,Painting,Sea,Ivan Aivazovsky,Painting,1900,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://babel.ua/texts/88067-rosiya-rozgrabuvala-muzeji-hersonu-y-vivezla-cinni-eksponati-v-krim-babel-rekonstruyuvav-zlochin-u-diyovih-osobah-i-detalyah-ta-rozkazuye-shcho-robiti-dali Archive links https://web.archive.org/web/20240505183526/https://babel.ua/texts/88067-rosiya-rozgrabuvala-muzeji-hersonu-y-vivezla-cinni-eksponati-v-krim-babel-rekonstruyuvav-zlochin-u-diyovih-osobah-i-detalyah-ta-rozkazuye-shcho-robiti-dali https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,On the back on canvas or on a stretcher,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
5176,https://war-sanctions.gur.gov.ua/en/stolen/objects/5176,Painting,First snow / Persнyi snih,Ksenia Stetsenko,Painting,,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,On the back on cardboard or on a stretcher,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
1668,https://war-sanctions.gur.gov.ua/en/stolen/objects/1668,Painting,View of the city of Odesa,Ivan Aivazovsky,Painting,1840-1850,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://www.facebook.com/art.museum.ks/photos/pb.100063473499961.-2207520000/5875098839214714/?type=3 Archive links https://archive.ph/OfyU2",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,It was taken out of the Kherson Art Museum by representatives of the russian federation,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/art.museum.ks/photos/pb.100063473499961.-2207520000/5875098839214714/?type=3; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
5134,https://war-sanctions.gur.gov.ua/en/stolen/objects/5134,Painting,"Gray day. From the series ""places of raid"". / Siryy den’. Iz seriyi ""mistsiamy reydu""",Leonid Chychkan,Painting,1964,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,"Gray day. From the series ""places of raid"". / Siryy den’. Iz seriyi ""mistsiamy reydu""","https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
4086,https://war-sanctions.gur.gov.ua/en/stolen/objects/4086,Painting,Palm Sunday,Mykola Pymonenko,Painting,,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://www.youtube.com/watch?v=CrpHMkeOPqA https://life.pravda.com.ua/culture/63653f3e0fafe/ https://www.facebook.com/share/18KKa2bV29/ https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/ https://web.archive.org/web/20240422114220/https://life.pravda.com.ua/culture/63653f3e0fafe/ https://archive.ph/cV0IH",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,It was taken out of the Kherson Art Museum by representatives of the russian federation,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/share/18KKa2bV29/; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
3133,https://war-sanctions.gur.gov.ua/en/stolen/objects/3133,Painting,The Lady with the Dog,Peter Lely (Pieter van der Faes),Painting,XVII century,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://suspilne.media/culture/392459-vkrali-bilse-niz-bulo-ozvuceno-velike-intervu-z-direktorkou-hersonskogo-muzeu-alinou-docenko/ Archive links https://web.archive.org/web/20240420005235/https://suspilne.media/culture/392459-vkrali-bilse-niz-bulo-ozvuceno-velike-intervu-z-direktorkou-hersonskogo-muzeu-alinou-docenko/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,England,,Peter Lely (Pieter van der Faes),"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
5112,https://war-sanctions.gur.gov.ua/en/stolen/objects/5112,Painting,In Crimea / U Krymu,Pavlo Shulga,Painting,1991,,"2022 Place of the incident: The Oleksii Shovkunenko Kherson Regional Art Museum Coordinates (Lat, Lon): 46.62979067231111, 32.609546919505945 Place of last known stay: Links https://ngl.media/2024/08/28/spetsialna-kulturna-operatsiya/?fbclid=IwY2xjawGqyBFleHRuA2FlbQIxMAABHe1_ufkEgAdSCsW0k1f84nJcITYe33pDsLXwR07nwmaFxmhHcpG-Ig9YbA_aem__oS_9KTVMyCRhMuFlOlwxQ Archive links https://archive.ph/2024.11.06-074654/https://ngl.media/2024/10/31/zminenyj-stan-svidomosti/",2022,The Oleksii Shovkunenko Kherson Regional Art Museum,,,,,On the back on canvas or on a stretcher,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en; https://www.facebook.com/DefenceIntelligenceofUkraine",2022,2022+ (Full-scale invasion),False,True
