id,category,name,author,type,date,year_incident,place_incident,google_maps_link,circumstances,url,original_name,date_normalized,year_for_timeline,latitude,longitude,year_for_timeline_timestamp,year_incident_timestamp,period_category
4086,Painting,Palm Sunday,Mykola Pymonenko,Painting,,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4086,,,,46.62979067231111,32.609546919505945,,2022-01-01T00:00:00,Unknown Period
5176,Painting,First snow,Ksenia Stetsenko,Painting,,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5176,Persнyi snih,,,46.63011915845823,32.609326242773804,,2022-01-01T00:00:00,Unknown Period
3133,Painting,The Lady with the Dog,Peter Lely (Pieter van der Faes),Painting,XVII century,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/3133,,1650 AD,,46.62953732843565,32.60928603822214,,2022-01-01T00:00:00,Cossack Hetmanate Period
1661,Painting,Sea,Ivan Aivazovsky,Painting,1900,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/1661,,1900 AD,1900-01-01,46.629577207653455,32.609532638724914,1900-01-01T00:00:00,2022-01-01T00:00:00,Ukraine under the Russian Empire
4049,Painting,Cossacks in the steppe,Serhii Vasylkivsky,Painting,XX century AD,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4049,Kozaky v stepu,1950 AD,1950-01-01,46.629811712249634,32.6097181202071,1950-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
5192,Painting,Fishermen on Kinburn,Valery Mashnitsky,Painting,2003,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5192,Rybalki na Kimburni,2003 AD,2003-01-01,46.62929149916194,32.60966699770499,2003-01-01T00:00:00,2022-01-01T00:00:00,Independence Period
5157,Painting,Party,Ivan Starenkov,Painting,1996,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5157,Vechirka,1996 AD,1996-01-01,46.629834402536474,32.609485430563495,1996-01-01T00:00:00,2022-01-01T00:00:00,Independence Period
5134,Painting,"Gray day. From the series ""Places of raid""",Leonid Chychkan,Painting,1964,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5134,"Siryy den’. Iz seriyi ""mistsiamy reydu""",1964 AD,1964-01-01,46.629587293628745,32.609969726335386,1964-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
1668,Painting,View of the city of Odesa,Ivan Aivazovsky,Painting,1840-1850,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/1668,,1845 AD,1845-01-01,46.62948679885733,32.60971367151346,1845-01-01T00:00:00,2022-01-01T00:00:00,Ukraine under the Russian Empire
1689,Painting,A decorative panel. Tomatoes in a vase,Maria Prymachenko,Painting,,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/1689,,,,46.62975960078281,32.60905937893254,,2022-01-01T00:00:00,Unknown Period
5090,Painting,Late autumn,Georgy Petrov,Painting,1992,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5090,Piznia osin,1992 AD,1992-01-01,46.63023705305421,32.60936211421105,1992-01-01T00:00:00,2022-01-01T00:00:00,Independence Period
5103,Painting,Sunday,Alexander Kalinsky,Painting,1991,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5103,Nedilia,1991 AD,1991-01-01,46.62948038679707,32.60905734242,1991-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
5112,Painting,In Crimea,Pavlo Shulga,Painting,1991,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5112,U Krymu,1991 AD,1991-01-01,46.62967887335313,32.60918664411845,1991-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
5101,Painting,Tatar courtyard,Alexander Kalinsky,Painting,1989,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5101,Tatarskyi Dvoryk,1989 AD,1989-01-01,46.62970314266017,32.60906584292531,1989-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
4859,Painting,"Still Life ""To Red""",Ivan Starenkov,Painting,1993,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4859,"Natiurmort ""Do сhervonogo""",1993 AD,1993-01-01,46.629590181439106,32.609474668320644,1993-01-01T00:00:00,2022-01-01T00:00:00,Independence Period
4852,Painting,Spring day,Konstantin Shurupov,Painting,1967,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4852,Vesnianyi den,1967 AD,1967-01-01,46.63003640373709,32.60956914775356,1967-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
4767,Painting,Bakhchisarai landscape,Yehor Tolkunov,Painting,1977,,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4767,Bakhchysaraiskii peizazh,1977 AD,1977-01-01,46.62990229865416,32.60983506264325,1977-01-01T00:00:00,,Soviet Period
4862,Painting,Peasant woman in a white scarf,Ivan Starenkov,Painting,1992,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4862,Selianka u biliy khusttsi,1992 AD,1992-01-01,46.630132963748416,32.610037240539505,1992-01-01T00:00:00,2022-01-01T00:00:00,Independence Period
4907,Painting,Mushrooms and crayfish,Grigory Kryzhevsky,Painting,1976,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4907,Hryby ta raky,1976 AD,1976-01-01,46.62935813876376,32.60990512328344,1976-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
4879,Painting,Sedniv. Early spring,Anatolii Platonov,Painting,1982,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4879,Sedniv. Rannia vesna,1982 AD,1982-01-01,46.62985640294272,32.60917975683639,1982-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
5194,Painting,On the Koshova River,Viktor Trapenok,Painting,1988,2022-01-01,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5194,Na richtsi Kocheviy,1988 AD,1988-01-01,46.62958827949103,32.60921826377644,1988-01-01T00:00:00,2022-01-01T00:00:00,Soviet Period
