museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q1982073,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.50493889 50.39384722),en,literal,Museum of Soviet Occupation,en,literal,Mykhaila Stelmakha Street
uri,http://www.wikidata.org/entity/Q3398437,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.55775 50.43219444),en,literal,Ivan Honchar Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4173048,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.37016667 45.18700833),en,literal,Eupatoria local museum,en,literal,Yevpatoriia
uri,http://www.wikidata.org/entity/Q2093814,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.4658823 50.4507565),en,literal,Kyiv Metro Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q16700961,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.201666666 44.911944444),en,literal,Kara-Dag dolphinarium,en,literal,Kurortne
uri,http://www.wikidata.org/entity/Q12082009,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.7942 46.754),uk,literal,Бердянський художній музей імені Ісаака Бродського,en,literal,Berdiansk
uri,http://www.wikidata.org/entity/Q3400429,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5008 50.4398),en,literal,Museum of Outstanding Figures of Ukrainian Culture,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q28704414,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.996837 50.3685127),uk,literal,Гадяцький історико-краєзнавчий музей,en,literal,Hadiach
uri,http://www.wikidata.org/entity/Q12114505,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.40169 49.06446),uk,literal,Кременчуцька міська художня галерея,en,literal,Kremenchuk
uri,http://www.wikidata.org/entity/Q12166932,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.236388888 49.998333333),en,literal,Kharkiv Municipal Gallery,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q1055311,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.143611111 44.467777777),en,literal,Livadia Palace,en,literal,Livadiya
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Velyki Sorochyntsi
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q1974519,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.731667 46.4675),en,literal,Odesa Zoo,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q3398677,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.51489444 50.44544722),en,literal,National Museum of Natural History at the National Academy of Sciences of Ukraine,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q4496329,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.24 49.9991),en,literal,Kharkiv Maritime Museum,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q4164364,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.683333333 47.766666666),en,literal,Dokuchaievsk Zoo,,,
uri,http://www.wikidata.org/entity/Q28704414,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.996837 50.3685127),uk,literal,Гадяцький історико-краєзнавчий музей,uk,literal,Гадяцька міська громада
