site,wkt
https://linked4resilience.eu/data/cultural-sites/00141,POINT(38.4709066187 48.8894356099)
https://linked4resilience.eu/data/cultural-sites/00153,POINT(38.5551270403 48.8617148106)
https://linked4resilience.eu/data/cultural-sites/00117,POINT(37.8340868337 48.5862216831)
https://linked4resilience.eu/data/cultural-sites/00204,POINT(33.5286642275 47.4980916723)
https://linked4resilience.eu/data/cultural-sites/00005,POINT(31.3055123278 51.487314051)
https://linked4resilience.eu/data/cultural-sites/00113,POINT(38.0026992024 48.5891970203)
https://linked4resilience.eu/data/cultural-sites/00174,POINT(32.0027916 46.972217)
https://linked4resilience.eu/data/cultural-sites/00178,POINT(30.7281524788 46.4945640486)
https://linked4resilience.eu/data/cultural-sites/00006,POINT(31.2919389271 51.4967301207)
https://linked4resilience.eu/data/cultural-sites/00051,POINT(36.7997939133 50.3610787006)
https://linked4resilience.eu/data/cultural-sites/00111,POINT(37.526228464 47.1016193106)
https://linked4resilience.eu/data/cultural-sites/00062,POINT(37.2787098074 49.1945413056)
https://linked4resilience.eu/data/cultural-sites/00056,POINT(36.2358839553 49.9987813663)
https://linked4resilience.eu/data/cultural-sites/00067,POINT(36.3325301123 49.8308534218)
https://linked4resilience.eu/data/cultural-sites/00025,POINT(32.0773313959 50.8935053537)
https://linked4resilience.eu/data/cultural-sites/00074,POINT(36.1076439099 50.1127728591)
https://linked4resilience.eu/data/cultural-sites/00017,POINT(29.9052988848 50.9296394354)
https://linked4resilience.eu/data/cultural-sites/00071,POINT(36.3592927231 49.9904595748)
https://linked4resilience.eu/data/cultural-sites/00035,POINT(30.1797051188 51.9188185232)
https://linked4resilience.eu/data/cultural-sites/00012,POINT(31.287985594 51.487359224)
https://linked4resilience.eu/data/cultural-sites/00076,POINT(36.2978789034 48.8807279949)
https://linked4resilience.eu/data/cultural-sites/00188,POINT(30.7430624982 46.4827218355)
https://linked4resilience.eu/data/cultural-sites/00158,POINT(38.4351065021 48.9281753076)
https://linked4resilience.eu/data/cultural-sites/00016,POINT(31.2958199683 51.4942239037)
https://linked4resilience.eu/data/cultural-sites/00176,POINT(28.4918597963 49.2393162348)
https://linked4resilience.eu/data/cultural-sites/00129,POINT(37.9574807619 48.5285647684)
https://linked4resilience.eu/data/cultural-sites/00152,POINT(38.425766265 48.9151282628)
https://linked4resilience.eu/data/cultural-sites/00157,POINT(29.6257161 50.4160829)
https://linked4resilience.eu/data/cultural-sites/00156,POINT(38.3603742 49.0204132)
https://linked4resilience.eu/data/cultural-sites/00109,POINT(37.7923447651 48.9857066733)
https://linked4resilience.eu/data/cultural-sites/00177,POINT(28.4919852 49.2389812)
https://linked4resilience.eu/data/cultural-sites/00069,POINT(36.2622255927 50.0811589216)
https://linked4resilience.eu/data/cultural-sites/00132,POINT(37.7435838295 48.1339121136)
https://linked4resilience.eu/data/cultural-sites/00027,POINT(29.8188492441 50.3821291007)
https://linked4resilience.eu/data/cultural-sites/00108,POINT(37.5538243121 47.0966958854)
