Title of the damage site in English,UNESCO_Date,Site_Type,Region,LAT,LON,ACLED_Date,ACLED_Lat,ACLED_Lon,ACLED_EventType,sub_event_type,admin1,fatalities,Min_Distance_KM,Days_Delay
Historic building of the regional youth center (formerly the Shchors Cinema),2022-02-27,building of historical and/or artistic interest,Chernihiv region,51.492920278077726,31.297107515663622,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,1.6342311727279646,3
Church of St. Theodosius,2022-03-13,religious site,Chernihiv region,51.5333489,31.3653939,2022-03-13,51.5321,31.3837,Violence against civilians,Attack,Chernihiv,0,1.2738391247635212,0
The Military Historical Museum - a branch of the Chernihiv Historical Museum – Chernihiv,2022-03-13,museum,Chernihiv region,51.49803782585291,31.31906853940755,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,2.506402471949294,17
Chernihiv regional library for Youth,2022-03-11,library,Chernihiv region,51.5028060067208,31.32548434110366,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,2.8249386893253567,15
Chernihiv Regional Universal Scientific Library. V.G. Korolenko,2022-03-30,library,Chernihiv region,51.49673012067539,31.291938927140468,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,1.0901091657247877,34
St. Kazan Church,2022-03-07,religious site,Chernihiv region,51.48778214965501,31.288189484812214,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,1.9832516172373813,11
Central City Library M. Kotsiubynsky,2022-02-27,library,Chernihiv region,51.49129929606076,31.294198986665176,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,1.7052097577885128,3
Chernihiv Regional Art Museum,2022-03-06,museum,Chernihiv region,51.49144244533868,31.30991371175712,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,2.3327085693941276,10
Memorial house-museum and estate of Mykhailo Kotsiubynskyi – Chernihiv,2022-03-06,museum,Chernihiv region,51.48735922398234,31.28798559399995,2022-02-24,51.5055,31.2849,Battles,Armed clash,Chernihiv,0,2.028440242031373,10
House of Prayer of the Second Chernihiv Church of Christian Baptists – Chernihiv,2022-03-09,religious site,Chernihiv region,51.51742491732102,31.336063446659033,2022-03-13,51.5321,31.3837,Violence against civilians,Attack,Chernihiv,0,3.6774920905920365,-4
