unesco_id;unesco_site;acled_event_id;date;event_type;sub_event;distance_km;fatalities;notes;location_acled
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR40183;2018-01-11;Strategic developments;Looting/property destruction;0.51;0;Property destruction: On 11 January 2018, unidentified individuals set fire to a car in Kiev belonging to the head of an initiative group for public control over the investigation into the murder of human rights activist Iryna Nozdrovska. The fire spread to another car parked nearby. No injuries were reported.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR487;2018-01-18;Strategic developments;Other;0.51;0;Other: On 18 January 2018, Ukraine's parliament in Kiev has passed a bill on de-occupation of Donbas region. The supporters of the bill, including President Poroshenko, say it will help Kyiv restore control over areas in the east that are held by Russia-backed separatists. The bill defines Donetsk and Luhansk regions as 'temporarily occupied territories', contrary to the autonomy granted to them in the Minsk agreement, and labels Russia as 'aggressor'.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR678;2018-01-25;Strategic developments;Headquarters or base established;0.51;0;On 25 January 2018, Ukraine presented the first cyber security centre in Kiev, strengthening its capacity to combat cyber crime. The centre was opened thanks to cooperation with Nato and the SBU.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR698;2018-01-26;Strategic developments;Change to group/activity;0.51;0;On 26 January 2018, in Kyiv, an additional 50 Canadian servicemen have arrived in Ukraine to train the country's troops as part of the UNIFIER mission, Lt. Col. Kristopher Reeves, commander of the Canadian army's Joint Task Force-Ukraine stated.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR1095;2018-02-07;Violence against civilians;Attack;0.51;0;On 7 February 2018, in Kiev, members of the National Corps attacked two men who were planning to distribute 'antifascist' leaflets. The victims claimed to be members of the Communist Party from western Ukraine.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR1163;2018-02-08;Violence against civilians;Attack;0.51;0;On 8 February 2018, a journalist was injured after gas was dispersed in the Vesti office as the National Agency for Identifying, Tracing and Managing Assets Obtained through Corruption and Other Crimes took control of the editorial offices of the Vesti newspaper in Kiev. This was done under criminal proceedings against the former minister for taxes and levies, who is accused of corruption.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR1277;2018-02-12;Strategic developments;Arrests;0.51;0;On 12 February 2018, State Border Guards detained Mikheil Saakashvili, the leader of the New Forces Movement Party in Ukraine and ex-president of Georgia while he was dining in a restaurant in Kiev. Saakashvili faces extradition.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR1461;2018-02-16;Strategic developments;Change to group/activity;0.51;0;On 16 February 2018, 2018 Police Forces of Ukraine seized over 100 improvised explosive devices, bottles with an unidentified flammable substance, and a large amount of marijuana during the searches at the home of one Kiev resident.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR2580;2018-03-21;Violence against civilians;Attack;0.51;0;On 21 March 2018, an Azerbaijani journalist was attacked at his residence in Kiev by unknown persons, which resulted in several injuries.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR2595;2018-03-22;Strategic developments;Arrests;3.49;0;On 22 March 2018, an MP Nadia Savchenko was arrested by Security Service of Ukraine in the building of the Verkhovna Rada in Kiev - Pecherskyi on suspicion of committing such crimes as the creation of a 'terrorist' group or a 'terrorist' organization, encroachment on the life of a statesman and attempted 'terrorist' attack. She is suspected of committing these crimes in collusion with Oleksandr Ruban, who was also detained earlier.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR2832;2018-03-28;Violence against civilians;Attack;3.49;0;On 28 March 2018, unidentified individuals, presumably belonging to far right groups, attacked a civilian in Kiev - Pecherskyi. They sprayed pepper spray into his face after he came out the cinema building where a Docudays human rights film festival was held.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR2929;2018-03-30;Strategic developments;Other;0.51;0;Other: On 30 March 2018, Ukraine has expelled 13 Russian diplomats from the territory of the country in connection with a nerve gas attack against former double agent Sergei Skripal and his daughter Yulia in Salisbury on March 4 [coded to Kiev].;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR3711;2018-04-20;Strategic developments;Disrupted weapons use;0.51;0;Weapons seizure: Around 20 April 2018, the Security Service of Ukraine exposed an organized group in Kiev that established the illegal export of weapons and ammunition from the ATO area. During the investigation it was established that former members of one of the volunteer battalions sent weapons and parts of ammunition for assembling and manufacturing in one of the workshops in Kiev to be used for further re-sale in the capital region and to members of criminal circles throughout Ukraine. The SBU seized four anti-tank grenade launchers, 30 grenades, two large-calibre projectiles, three kilograms of plastid, three detonators, six rifles, three automatic weapons, 37 pistols and traumatic guns and almost 15,000 ammunition rounds.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR3710;2018-04-20;Strategic developments;Disrupted weapons use;0.51;0;Weapons seizure: Around 20 April 2018 (as reported), the Security Service of Ukraine stopped the activities of an international group that supplied weapons to Ukraine from Europe and the United States. During the investigation it was established that a resident of Kiev had established a channel for the supply of spare parts for pistols and automatic devices which were brought into Ukraine by couriers and later assembled in workshops for use in combat. The SBU seized three machine guns, three assault rifles, two rifles, seven submachine guns, 30 pistols and revolvers, eight grenade launchers, 32 grenades, five mines, 3,240 ammunition rounds and assembly kits pistols.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR4152;2018-05-01;Strategic developments;Disrupted weapons use;0.51;0;Weapons seizure: On 1 May 2018, Ukrainian law enforcers have discovered a package with arms and ammunition on Trukhaniv Island in Kiev which contained four grenades, detonators, five TNT blocks, 10 projectiles for a grenade launcher, five cartridges for a rifle and about 1,500 rounds of ammunition.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR4428;2018-05-08;Strategic developments;Change to group/activity;0.51;0;Security measures: On 8 May 2018, the Security Service of Ukraine carried out searches at home of the Ukrainian Communist Party leader Petro Symonenko in Kiev and recovered campaign leaflets calling for constitutional change or government overthrow or takeover, and seized items looking like a Stechkin pistol with a silencer and 120 cartridges. Symonenko had been summoned for questioning as part of a criminal inquiry into 'actions aimed at violent change or overthrow of the constitutional system or seizure of government power' and 'high treason,' according to the SBU spokeswoman Olena Hytlyanska. Later in the day SBU officers raided the homes of senior Communists in and around Kyiv and recovered campaign materials containing banned Communist symbols.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR4728;2018-05-15;Strategic developments;Arrests;3.88;0;On 15 May 2018, the Security Service of Ukraine (SBU) launched a large-scale operation against the employees of RIA Novosti Ukraine accusing them of participating in a 'hybrid information war' waged by Russia against Ukraine. Its Chief Editor, Kirill Vyshinsky, who has dual Russian-Ukrainian citizenship, was detained in Kiev - Shevchenkivskyi and more than 40 agency's employees have been summoned to the SBU for interrogation.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR36409;2018-05-17;Violence against civilians;Attack;0.51;0;On 17 May 2018, unidentified individuals attacked a Donbas veteran in Kiev who had become famous for his travel blog, in particular, after he published a video of arguing with and spitting in the face of a pro-Kremlin Russian journalist. The victim sustained injuries to his head.;Kyiv
