UNESCO_Site;UNESCO_Category;Event_Date;Attack_Type;Distance_m;Danger_Score;Violation_Risk_Level;ACLED_Notes
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-01-11;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 11 January 2018, unidentified individuals set fire to a car in Kiev belonging to the head of an initiative group for public control over the investigation into the murder of human rights activist Iryna Nozdrovska. The fire spread to another car parked nearby. No injuries were reported.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-01-18;Other;514.5;1;High (Negligence Risk);Other: On 18 January 2018, Ukraine's parliament in Kiev has passed a bill on de-occupation of Donbas region. The supporters of the bill, including President Poroshenko, say it will help Kyiv restore control over areas in the east that are held by Russia-backed separatists. The bill defines Donetsk and Luhansk regions as 'temporarily occupied territories', contrary to the autonomy granted to them in the Minsk agreement, and labels Russia as 'aggressor'.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-01-25;Headquarters or base established;514.5;1;High (Negligence Risk);On 25 January 2018, Ukraine presented the first cyber security centre in Kiev, strengthening its capacity to combat cyber crime. The centre was opened thanks to cooperation with Nato and the SBU.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-01-26;Change to group/activity;514.5;1;High (Negligence Risk);On 26 January 2018, in Kyiv, an additional 50 Canadian servicemen have arrived in Ukraine to train the country's troops as part of the UNIFIER mission, Lt. Col. Kristopher Reeves, commander of the Canadian army's Joint Task Force-Ukraine stated.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-02-07;Attack;514.5;5;High (Negligence Risk);On 7 February 2018, in Kiev, members of the National Corps attacked two men who were planning to distribute 'antifascist' leaflets. The victims claimed to be members of the Communist Party from western Ukraine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-02-08;Attack;514.5;5;High (Negligence Risk);On 8 February 2018, a journalist was injured after gas was dispersed in the Vesti office as the National Agency for Identifying, Tracing and Managing Assets Obtained through Corruption and Other Crimes took control of the editorial offices of the Vesti newspaper in Kiev. This was done under criminal proceedings against the former minister for taxes and levies, who is accused of corruption.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-02-12;Arrests;514.5;1;High (Negligence Risk);On 12 February 2018, State Border Guards detained Mikheil Saakashvili, the leader of the New Forces Movement Party in Ukraine and ex-president of Georgia while he was dining in a restaurant in Kiev. Saakashvili faces extradition.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-02-16;Change to group/activity;514.5;1;High (Negligence Risk);On 16 February 2018, 2018 Police Forces of Ukraine seized over 100 improvised explosive devices, bottles with an unidentified flammable substance, and a large amount of marijuana during the searches at the home of one Kiev resident.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-03-21;Attack;514.5;5;High (Negligence Risk);On 21 March 2018, an Azerbaijani journalist was attacked at his residence in Kiev by unknown persons, which resulted in several injuries.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-03-30;Other;514.5;1;High (Negligence Risk);Other: On 30 March 2018, Ukraine has expelled 13 Russian diplomats from the territory of the country in connection with a nerve gas attack against former double agent Sergei Skripal and his daughter Yulia in Salisbury on March 4 [coded to Kiev].
